テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力データ,手順,期待結果,確認方法・証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-076,TD032,TV032,TA006,コードベース,Unit,高,TD032 閏日境界,分析集計仕様 の仕様を確認できるテストデータを用意し、対象設計 TD032 の条件を再現する。,閏日境界。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td032_076@example.test、対象データ名は TC-CB-076 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日・月の半開区間との重複分だけ予定・実績を按分すること のうち「閏日境界」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,分析集計仕様,"R006, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-077,TD032,TV032,TA006,コードベース,Unit,高,TD032 年末境界,分析集計仕様 の仕様を確認できるテストデータを用意し、対象設計 TD032 の条件を再現する。,年末境界。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td032_077@example.test、対象データ名は TC-CB-077 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,日・月の半開区間との重複分だけ予定・実績を按分すること のうち「年末境界」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,分析集計仕様,"R006, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-078,TD033,TV033,TA006,コードベース,Unit,高,TD033 差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割01,README 所要時間差異 の仕様を確認できるテストデータを用意し、対象設計 TD033 の条件を再現する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td033_078@example.test、対象データ名は TC-CB-078 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること のうち「差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 所要時間差異,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-079,TD033,TV033,TA006,コードベース,Unit,高,TD033 差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割02,README 所要時間差異 の仕様を確認できるテストデータを用意し、対象設計 TD033 の条件を再現する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td033_079@example.test、対象データ名は TC-CB-079 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること のうち「差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 所要時間差異,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-080,TD033,TV033,TA006,コードベース,Unit,高,TD033 差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割03,README 所要時間差異 の仕様を確認できるテストデータを用意し、対象設計 TD033 の条件を再現する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td033_080@example.test、対象データ名は TC-CB-080 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること のうち「差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 所要時間差異,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-081,TD033,TV033,TA006,コードベース,Unit,高,TD033 差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割04,README 所要時間差異 の仕様を確認できるテストデータを用意し、対象設計 TD033 の条件を再現する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td033_081@example.test、対象データ名は TC-CB-081 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること のうち「差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 所要時間差異,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-082,TD033,TV033,TA006,コードベース,Unit,高,TD033 差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割05,README 所要時間差異 の仕様を確認できるテストデータを用意し、対象設計 TD033 の条件を再現する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割05。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td033_082@example.test、対象データ名は TC-CB-082 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること のうち「差異-1分直前、-1分、0分、+1分、+1分直後を短縮・一致・超過へ分類すること 分割05」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 所要時間差異,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-083,TD034,TV034,TA006,コードベース,Unit,高,TD034 内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割01,README 丸め の仕様を確認できるテストデータを用意し、対象設計 TD034 の条件を再現する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td034_083@example.test、対象データ名は TC-CB-083 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること のうち「内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 丸め,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-084,TD034,TV034,TA006,コードベース,Unit,高,TD034 内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割02,README 丸め の仕様を確認できるテストデータを用意し、対象設計 TD034 の条件を再現する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td034_084@example.test、対象データ名は TC-CB-084 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること のうち「内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 丸め,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-085,TD034,TV034,TA006,コードベース,Unit,高,TD034 内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割03,README 丸め の仕様を確認できるテストデータを用意し、対象設計 TD034 の条件を再現する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td034_085@example.test、対象データ名は TC-CB-085 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること のうち「内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 丸め,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-086,TD034,TV034,TA006,コードベース,Unit,高,TD034 内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割04,README 丸め の仕様を確認できるテストデータを用意し、対象設計 TD034 の条件を再現する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td034_086@example.test、対象データ名は TC-CB-086 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること のうち「内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 丸め,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-087,TD034,TV034,TA006,コードベース,Unit,高,TD034 内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割05,README 丸め の仕様を確認できるテストデータを用意し、対象設計 TD034 の条件を再現する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割05。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td034_087@example.test、対象データ名は TC-CB-087 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること のうち「内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割05」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 丸め,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-088,TD034,TV034,TA006,コードベース,Unit,高,TD034 内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割06,README 丸め の仕様を確認できるテストデータを用意し、対象設計 TD034 の条件を再現する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割06。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td034_088@example.test、対象データ名は TC-CB-088 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること のうち「内部値を丸めず、時間小数第1位と割合整数の表示時だけ四捨五入すること 分割06」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 丸め,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-089,TD035,TV035,TA006,コードベース,Unit,高,TD035 空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割01,AnalyticsPage、README の仕様を確認できるテストデータを用意し、対象設計 TD035 の条件を再現する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td035_089@example.test、対象データ名は TC-CB-089 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること のうち「空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage、README,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-090,TD035,TV035,TA006,コードベース,Unit,高,TD035 空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割02,AnalyticsPage、README の仕様を確認できるテストデータを用意し、対象設計 TD035 の条件を再現する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td035_090@example.test、対象データ名は TC-CB-090 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること のうち「空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage、README,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-091,TD035,TV035,TA006,コードベース,Unit,高,TD035 空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割03,AnalyticsPage、README の仕様を確認できるテストデータを用意し、対象設計 TD035 の条件を再現する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td035_091@example.test、対象データ名は TC-CB-091 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること のうち「空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage、README,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-092,TD035,TV035,TA006,コードベース,Unit,高,TD035 空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割04,AnalyticsPage、README の仕様を確認できるテストデータを用意し、対象設計 TD035 の条件を再現する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td035_092@example.test、対象データ名は TC-CB-092 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること のうち「空データ、予定未入力、実績未入力、カテゴリなしをゼロと未入力で混同せず表示すること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage、README,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-093,TD036,TV036,TA006,コードベース,Unit,高,TD036 全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割01,AnalyticsPage の仕様を確認できるテストデータを用意し、対象設計 TD036 の条件を再現する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td036_093@example.test、対象データ名は TC-CB-093 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること のうち「全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-094,TD036,TV036,TA006,コードベース,Unit,高,TD036 全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割02,AnalyticsPage の仕様を確認できるテストデータを用意し、対象設計 TD036 の条件を再現する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td036_094@example.test、対象データ名は TC-CB-094 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること のうち「全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-095,TD036,TV036,TA006,コードベース,Unit,高,TD036 全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割03,AnalyticsPage の仕様を確認できるテストデータを用意し、対象設計 TD036 の条件を再現する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td036_095@example.test、対象データ名は TC-CB-095 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること のうち「全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-096,TD036,TV036,TA006,コードベース,Unit,高,TD036 全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割04,AnalyticsPage の仕様を確認できるテストデータを用意し、対象設計 TD036 の条件を再現する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td036_096@example.test、対象データ名は TC-CB-096 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること のうち「全期間、月別、日別ドリルダウンの切替で同一データの所属と合計が整合すること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,AnalyticsPage,R006,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-097,TD037,TV037,TA007,コードベース,Unit,高,TD037 タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割01,TaskForm の仕様を確認できるテストデータを用意し、対象設計 TD037 の条件を再現する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td037_097@example.test、対象データ名は TC-CB-097 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること のうち「タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm,"R007, R015",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-098,TD037,TV037,TA007,コードベース,Unit,高,TD037 タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割02,TaskForm の仕様を確認できるテストデータを用意し、対象設計 TD037 の条件を再現する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td037_098@example.test、対象データ名は TC-CB-098 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること のうち「タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm,"R007, R015",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-099,TD037,TV037,TA007,コードベース,Unit,高,TD037 タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割03,TaskForm の仕様を確認できるテストデータを用意し、対象設計 TD037 の条件を再現する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td037_099@example.test、対象データ名は TC-CB-099 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること のうち「タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm,"R007, R015",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-100,TD037,TV037,TA007,コードベース,Unit,高,TD037 タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割04,TaskForm の仕様を確認できるテストデータを用意し、対象設計 TD037 の条件を再現する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td037_100@example.test、対象データ名は TC-CB-100 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること のうち「タスク名の空文字・空白だけを拒否し、有効な日本語・特殊文字を保存できること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm,"R007, R015",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-101,TD038,TV038,TA007,コードベース,Unit,高,TD038 数量と1単位時間の-1/0/1、小数、2147483647/2147483648でUIとDB制約が矛盾しないこと 分割01,TaskForm、migrations の仕様を確認できるテストデータを用意し、対象設計 TD038 の条件を再現する。,数量と1単位時間の-1/0/1、小数、2147483647/2147483648でUIとDB制約が矛盾しないこと 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td038_101@example.test、対象データ名は TC-CB-101 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,数量と1単位時間の-1/0/1、小数、2147483647/2147483648でUIとDB制約が矛盾しないこと のうち「数量と1単位時間の-1/0/1、小数、2147483647/2147483648でUIとDB制約が矛盾しないこと 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,TaskForm、migrations,R007,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
